Q_No,Question,Code_Part,Option_A,Option_B,Option_C,Option_D,Answer,Explanation
1.,Which was the first purely object oriented programming language developed?,,Java,C++,SmallTalk,Kotlin,c,SmallTalk was the first programming language developed which was purely object oriented. It was developed by Alan Kay. OOP concept came into the picture in 1970’s.
2.,Which of the following best defines a class?,,Parent of an object,Instance of an object,Blueprint of an object,Scope of an object,c,A class is Blueprint of an object which describes/ shows all the functions and data that are provided by an object of a specific class. It can’t be called as parent or instance of an object. Class in general describes all the properties of an object.
3.,Who invented OOP?,,Alan Kay,Andrea Ferro,Dennis Ritchie,Adele Goldberg,a,"Alan Kay invented OOP, Andrea Ferro was a part of SmallTalk Development. Dennis invented C++ and Adele Goldberg was in team to develop SmallTalk but Alan actually had got rewarded for OOP."
4.,What is the additional feature in classes that was not in structures?,,Data members,Member functions,Static data allowed,Public access specifier,b,"Member functions are allowed inside a class but were not present in structure concept.  Data members, static data and public access specifiers were present in structures too."
5.,Which is not feature of OOP in general definitions?,,Code reusability,Modularity,Duplicate/Redundant data,Efficient Code,c,Duplicate/Redundant data is dependent on programmer and hence can’t be guaranteed by OOP. Code reusability is done using inheritance. Modularity is supported by using different code files and classes. Codes are more efficient because of features of OOP.
6.,Pure OOP can be implemented without using class in a program. (True or False),,True,False,"<span class=""collapseomatic  colomat-close colomat-visited"" id=""id68dd3e474deb4"" tabindex="""" title=""View Answer"">View Answer</span>",,b,"It’s false because for a program to be pure OO, everything must be written inside classes. If this rule is violated, the program can’t be labelled as purely OO."
7.,Which Feature of OOP illustrated the code reusability?,,Polymorphism,Abstraction,Encapsulation,Inheritance,d,"Using inheritance we can reuse the code already written and also can avoid creation of many new functions or variables, as that can be done one time and be reused, using classes."
8.,Which language does not support all 4 types of inheritance?,,C++,Java,Kotlin,Small Talk,b,Java doesn’t support all 4 types of inheritance. It doesn’t support multiple inheritance. But the multiple inheritance can be implemented using interfaces in Java.
9.,How many classes can be defined in a single program?,,Only 1,Only 100,Only 999,As many as you want,d,"Any number of classes can be defined inside a program, provided that their names are different. In java, if public class is present then it must have the same name as that of file."
10,When OOP concept did first came into picture?,,1970’s,1980’s,1993,1995,a,"OOP first came into picture in 1970’s by Alan and his team. Later it was used by some programming languages and got implemented successfully, SmallTalk was first language to use pure OOP and followed all rules strictly."
